name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Voúla,37.84221,23.77651,GR,28364,251780,Voúla,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Volos,39.36923,22.94769,GR,86048,251833,Volos,0.15,0.22,0.04,0.01,0.04,0.1,0.03,0.04,0.38,0.06,0.16,0.13
Výronas,37.96105,23.753,GR,61308,251948,Výronas,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Vári,37.8332,23.80311,GR,15855,252270,Vári,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Trípoli,37.50889,22.37944,GR,26561,252601,Trípoli,0.04,0.16,0.03,0.01,0.07,0.13,0.03,0.03,0.14,0.04,0.13,0.09
Tríkala,39.55493,21.76837,GR,61653,252664,Tríkala,0.13,0.37,0.08,0.02,0.04,0.11,0.02,0.03,0.05,0.05,0.16,0.06
Thívai,38.325,23.31889,GR,36477,252910,Thívai,0.07,0.14,0.01,0.01,0.07,0.13,0.03,0.03,0.18,0.03,0.07,0.09
Sparta,37.07446,22.43009,GR,16239,253394,Sparta,0.03,0.16,0.04,0.01,0.06,0.15,0.03,0.03,0.11,0.05,0.14,0.11
Salamína,37.96427,23.49649,GR,25370,254144,Salamína,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Rethymno,35.36555,24.48232,GR,32468,254352,Rethymno,0.05,0.1,0.02,0.0,0.04,0.07,0.03,0.01,0.06,0.04,0.14,0.13
Préveza,38.95617,20.7505,GR,17283,254698,Préveza,0.16,0.42,0.29,0.0,0.05,0.1,0.02,0.02,0.0,0.06,0.36,0.15
Pýrgos,37.67513,21.44102,GR,22399,255229,Pýrgos,0.09,0.24,0.11,0.0,0.04,0.15,0.01,0.02,0.08,0.03,0.2,0.13
Piraeus,37.94203,23.64619,GR,163688,255274,Piraeus,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Petroúpolis,38.04187,23.68494,GR,58979,255377,Petroúpolis,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Peristéri,38.01539,23.69187,GR,139981,255524,Peristéri,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Pérama,37.96775,23.5721,GR,25389,255588,Pérama,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Pátra,38.24444,21.73444,GR,168034,255683,Pátra,0.18,0.37,0.25,0.01,0.06,0.12,0.01,0.03,0.09,0.02,0.27,0.16
Palaió Fáliro,37.92812,23.70105,GR,64021,256075,Palaió Fáliro,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Níkaia,37.96667,23.65,GR,89380,256429,Níkaia,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Néa Smýrni,37.94504,23.71416,GR,73076,256575,Néa Smýrni,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Néa Mákri,38.08733,23.97642,GR,15554,256598,Néa Mákri,0.06,0.08,0.02,0.0,0.03,0.04,0.04,0.01,0.06,0.04,0.07,0.1
Ílion,38.03333,23.7,GR,84793,256601,Ílion,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Néa Ionía,38.0357,23.75733,GR,67134,256614,Néa Ionía,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Néa Filadélfeia,38.03491,23.73811,GR,25734,256621,Néa Filadélfeia,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Néa Erythraía,38.0927,23.82223,GR,17379,256622,Néa Erythraía,0.06,0.11,0.02,0.01,0.06,0.11,0.04,0.03,0.15,0.03,0.07,0.09
Moskháton,37.94789,23.6788,GR,25441,256750,Moskháton,0.06,0.11,0.03,0.0,0.07,0.13,0.08,0.02,0.07,0.03,0.07,0.1
Mytilene,39.10772,26.55529,GR,28322,256866,Mytilene,0.18,0.25,0.12,0.01,0.02,0.11,0.01,0.0,0.08,0.03,0.2,0.12
Melíssia,38.05,23.83333,GR,22741,257302,Melíssia,0.06,0.09,0.01,0.01,0.05,0.09,0.03,0.01,0.09,0.03,0.06,0.09
Mégara,37.99471,23.34324,GR,23456,257365,Mégara,0.07,0.11,0.01,0.01,0.05,0.09,0.03,0.02,0.13,0.03,0.07,0.09
Artémida,37.96727,23.99684,GR,21488,258038,Artémida,0.06,0.08,0.02,0.0,0.03,0.04,0.04,0.01,0.06,0.04,0.07,0.1
Livadeiá,38.43616,22.87665,GR,21492,258463,Livadeiá,0.13,0.17,0.02,0.01,0.05,0.1,0.05,0.03,0.32,0.04,0.13,0.11
Lárisa,39.63689,22.41761,GR,146926,258576,Lárisa,0.12,0.29,0.05,0.02,0.05,0.13,0.03,0.04,0.05,0.03,0.12,0.06
