name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Kapan,39.20755,46.40576,AM,33160,174875,Kapan,0.02,0.06,0.09,0.07,0.03,0.01,0.0,0.01,0.01,0.04,0.11,0.04
Goris,39.51111,46.34168,AM,20379,174895,Goris,0.02,0.02,0.14,0.14,0.09,0.07,0.01,0.01,0.03,0.07,0.07,0.03
Hats’avan,39.46405,45.97047,AM,15208,174972,Hats’avan,0.01,0.03,0.15,0.14,0.16,0.13,0.02,0.02,0.06,0.08,0.06,0.02
Artashat,39.96144,44.54447,AM,20562,174979,Artashat,0.04,0.06,0.08,0.06,0.15,0.07,0.03,0.06,0.02,0.06,0.07,0.09
Ararat,39.83069,44.70569,AM,28832,174991,Ararat,0.05,0.06,0.04,0.05,0.06,0.0,0.0,0.0,0.0,0.07,0.03,0.05
Yerevan,40.18111,44.51361,AM,1093485,616052,Yerevan,0.04,0.06,0.08,0.06,0.15,0.07,0.03,0.06,0.02,0.06,0.07,0.09
Vagharshapat,40.16557,44.29462,AM,46200,616062,Vagharshapat,0.04,0.06,0.08,0.06,0.15,0.07,0.03,0.06,0.02,0.06,0.07,0.09
Stepanavan,41.00995,44.38531,AM,23782,616194,Stepanavan,0.01,0.02,0.09,0.11,0.22,0.18,0.06,0.08,0.04,0.06,0.04,0.02
Spitak,40.83221,44.26731,AM,15059,616199,Spitak,0.01,0.02,0.08,0.08,0.24,0.19,0.09,0.08,0.05,0.06,0.03,0.02
Sevan,40.5473,44.94171,AM,17083,616250,Sevan,0.01,0.01,0.06,0.11,0.23,0.19,0.18,0.15,0.07,0.08,0.02,0.02
Masis,40.06572,44.41913,AM,18911,616435,Masis,0.04,0.06,0.08,0.06,0.15,0.07,0.03,0.06,0.02,0.06,0.07,0.09
Vanadzor,40.80456,44.4939,AM,101098,616530,Vanadzor,0.01,0.02,0.09,0.11,0.22,0.18,0.06,0.08,0.04,0.06,0.04,0.02
Gavar,40.35398,45.12386,AM,21680,616599,Gavar,0.01,0.01,0.06,0.11,0.23,0.19,0.18,0.15,0.07,0.08,0.02,0.02
Hrazdan,40.49748,44.7662,AM,40795,616629,Hrazdan,0.01,0.01,0.06,0.1,0.17,0.08,0.09,0.07,0.02,0.07,0.04,0.03
Armavir,40.15446,44.03815,AM,25963,616631,Armavir,0.04,0.06,0.08,0.06,0.15,0.07,0.03,0.06,0.02,0.06,0.07,0.09
Gyumri,40.7942,43.84528,AM,148381,616635,Gyumri,0.01,0.02,0.07,0.05,0.2,0.11,0.03,0.07,0.03,0.06,0.05,0.04
Ch’arents’avan,40.40289,44.64447,AM,18500,616785,Ch’arents’avan,0.01,0.01,0.07,0.12,0.21,0.16,0.08,0.11,0.05,0.07,0.03,0.01
Ashtarak,40.2991,44.36204,AM,18779,616877,Ashtarak,0.03,0.06,0.07,0.06,0.14,0.06,0.02,0.05,0.01,0.05,0.07,0.07
Abovyan,40.27368,44.63348,AM,35673,617026,Abovyan,0.02,0.05,0.09,0.09,0.15,0.04,0.03,0.04,0.01,0.07,0.04,0.04
