name,latitude,longitude,country,population,id,city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
Zwijndrecht,51.21979,4.32664,BE,18249,2783081,Zwijndrecht,0.09,0.02,0.04,0.07,0.11,0.07,0.09,0.04,0.04,0.07,0.05,0.1
Zwevegem,50.81268,3.33848,BE,23358,2783089,Zwevegem,0.09,0.02,0.03,0.06,0.09,0.07,0.08,0.04,0.03,0.06,0.07,0.1
Zottegem,50.86955,3.81052,BE,24434,2783175,Zottegem,0.08,0.02,0.05,0.06,0.1,0.09,0.08,0.05,0.03,0.05,0.06,0.09
Zonhoven,50.99064,5.36819,BE,19922,2783188,Zonhoven,0.09,0.02,0.05,0.07,0.1,0.07,0.1,0.05,0.04,0.07,0.06,0.09
Zolder,51.02455,5.30983,BE,17289,2783197,Zolder,0.09,0.02,0.05,0.07,0.1,0.07,0.1,0.05,0.04,0.07,0.06,0.09
Zemst,50.98318,4.46079,BE,21096,2783274,Zemst,0.08,0.02,0.05,0.06,0.1,0.09,0.11,0.05,0.03,0.06,0.06,0.1
Zele,51.06566,4.0403,BE,20236,2783293,Zele,0.08,0.02,0.05,0.06,0.1,0.08,0.08,0.05,0.04,0.06,0.06,0.09
Zedelgem,51.14236,3.1368,BE,21968,2783308,Zedelgem,0.09,0.02,0.03,0.07,0.1,0.06,0.07,0.04,0.03,0.11,0.08,0.12
Zaventem,50.88365,4.47298,BE,28188,2783310,Zaventem,0.08,0.02,0.05,0.06,0.1,0.09,0.11,0.05,0.03,0.06,0.06,0.1
Wondelgem,51.08705,3.70909,BE,23546,2783456,Wondelgem,0.08,0.02,0.05,0.07,0.1,0.08,0.08,0.05,0.04,0.06,0.06,0.09
Woluwe-Saint-Lambert,50.84389,4.42912,BE,56584,2783476,Woluwe-Saint-Lambert,0.08,0.02,0.05,0.06,0.1,0.09,0.11,0.05,0.03,0.07,0.06,0.09
Wilrijk,51.16734,4.39513,BE,41403,2783615,Wilrijk,0.09,0.03,0.05,0.07,0.11,0.07,0.11,0.04,0.04,0.08,0.05,0.1
Willebroek,51.06041,4.36019,BE,22808,2783632,Willebroek,0.08,0.02,0.05,0.06,0.11,0.09,0.09,0.05,0.04,0.06,0.06,0.1
Wevelgem,50.8,3.16667,BE,30954,2783759,Wevelgem,0.09,0.02,0.03,0.06,0.09,0.07,0.08,0.04,0.03,0.06,0.07,0.1
Wetteren,51.00526,3.88341,BE,22930,2783763,Wetteren,0.08,0.02,0.05,0.06,0.1,0.08,0.08,0.05,0.04,0.06,0.06,0.09
Westerlo,51.09049,4.91544,BE,22579,2783801,Westerlo,0.09,0.02,0.06,0.06,0.09,0.08,0.11,0.05,0.04,0.07,0.05,0.09
Wervik,50.78069,3.03854,BE,17340,2783820,Wervik,0.09,0.02,0.03,0.07,0.09,0.07,0.08,0.05,0.03,0.05,0.07,0.1
Wavre,50.71717,4.60138,BE,34305,2783941,Wavre,0.08,0.02,0.05,0.06,0.1,0.09,0.11,0.05,0.03,0.07,0.06,0.09
Watermael-Boitsfort,50.80154,4.41436,BE,25157,2783979,Watermael-Boitsfort,0.08,0.02,0.05,0.06,0.1,0.09,0.11,0.05,0.03,0.07,0.06,0.09
Waterloo,50.71469,4.3991,BE,29778,2783985,Waterloo,0.08,0.02,0.05,0.06,0.1,0.09,0.11,0.05,0.03,0.07,0.06,0.09
Waregem,50.88898,3.42756,BE,35896,2784068,Waregem,0.08,0.02,0.04,0.07,0.11,0.07,0.09,0.05,0.04,0.06,0.07,0.1
Walcourt,50.25401,4.43796,BE,17501,2784189,Walcourt,0.09,0.02,0.05,0.08,0.13,0.09,0.09,0.07,0.02,0.09,0.05,0.08
Visé,50.7376,5.69907,BE,17054,2784548,Visé,0.09,0.02,0.06,0.09,0.12,0.08,0.09,0.05,0.05,0.11,0.05,0.1
Vilvoorde,50.92814,4.42938,BE,36955,2784604,Vilvoorde,0.08,0.02,0.05,0.06,0.1,0.09,0.11,0.05,0.03,0.06,0.06,0.1
Verviers,50.58907,5.86241,BE,52824,2784821,Verviers,0.09,0.02,0.07,0.09,0.12,0.08,0.09,0.06,0.05,0.11,0.04,0.09
Uccle,50.80225,4.33943,BE,82929,2785123,Uccle,0.08,0.02,0.05,0.06,0.1,0.09,0.1,0.05,0.03,0.06,0.06,0.09
Turnhout,51.32254,4.94471,BE,44000,2785141,Turnhout,0.09,0.02,0.05,0.07,0.1,0.07,0.12,0.04,0.04,0.07,0.05,0.1
Tubize,50.69059,4.2009,BE,18000,2785169,Tubize,0.08,0.02,0.05,0.06,0.1,0.09,0.1,0.05,0.03,0.06,0.06,0.09
Tournai,50.60715,3.38932,BE,69554,2785341,Tournai,0.08,0.02,0.04,0.06,0.1,0.08,0.1,0.05,0.03,0.06,0.06,0.09
Torhout,51.0656,3.10085,BE,18933,2785364,Torhout,0.09,0.02,0.03,0.08,0.1,0.07,0.08,0.04,0.03,0.08,0.08,0.1
Tongeren,50.78054,5.46484,BE,29816,2785389,Tongeren,0.09,0.02,0.06,0.08,0.13,0.07,0.1,0.05,0.05,0.1,0.05,0.09
